activity_id,source_commercial_activity_id,store_name,category_name,category_group,quartiere_id,x_coord,y_coord,address
976,EP,,Somministrazione,somministrazione,7,1396398.114,4992632.19,VIA BORGO DORA 14/E
977,EP,,Somministrazione,somministrazione,7,1396394.75674496,4992577.43519927,VIA BORGO DORA 23/F
978,EP,,Somministrazione,somministrazione,17,1396039.726,4994197.559,VIA GIOVANNI MICHELE BOCCARDO 13/D
979,EP,,Somministrazione,somministrazione,17,1395864.281,4994869.641,VIA BREGLIO 96
980,EP,,DIA di somministrazione,somministrazione,10,1393922.394,4986966.037,VIA CARLO BOSSOLI 83
981,EP,,Somministrazione,somministrazione,7,1396413.382,4992688.897,VIA BORGO DORA 33/B
982,EP,,Somministrazione,somministrazione,7,1396438.798,4992731.493,VIA BORGO DORA 37/B
983,EP,,DIA di somministrazione,somministrazione,21,1399362.47,4991385.147,VIA GIOVANNI BOCCACCIO 18
984,EP,,Somministrazione,somministrazione,17,1396202.768,4994820.778,VIA BREGLIO 50/C
985,EP,,Somministrazione,somministrazione,17,1396107.25,4994800.236,VIA BREGLIO 55/A
986,EP,,Somministrazione,somministrazione,17,1396049.343,4994834.485,VIA BREGLIO 70/E
987,EP,,Somministrazione,somministrazione,11,1393261.005,4988258.997,VIA BOSTON 14/D
988,EP,,Somministrazione,somministrazione,16,1394820.04574644,4994768.66228675,VIA BORGARO 65
989,EP,,Somministrazione,somministrazione,16,1394847.356,4994694.629,VIA BORGARO 66
990,EP,,Somministrazione,somministrazione,6,1394694.582,4993266.024,VIA S. GIOVANNI BOSCO 69/F
991,EP,,DIA di somministrazione,somministrazione,16,1394879.902,4995067.472,VIA BORGARO 88 int. 3
992,EP,,Somministrazione,somministrazione,18,1397896.493,4993820.25,VIA BRANDIZZO 86/B
993,EP,,Somministrazione,somministrazione,6,1395146.885,4993065.614,VIA S. GIOVANNI BOSCO 31
994,EP,,Somministrazione,somministrazione,18,1397389.509,4994015.944,VIA BRANDIZZO 15
995,EP,,Somministrazione,somministrazione,18,1397415.603,4994006.612,VIA BRANDIZZO 17/D
996,EP,,Somministrazione,somministrazione,18,1397624.466,4993932.709,VIA BRANDIZZO 41/B
997,EP,,Somministrazione,somministrazione,13,1392323.657,4990418.822,VIALE LEONARDO BISTOLFI 22/A
998,EP,,DIA di somministrazione,somministrazione,5,1394293.29583333,4991466.43958333,VIA NINO BIXIO 44
999,EP,,Somministrazione,somministrazione,1,1395795.303,4992064.095,VIA BLIGNY 0/C
1000,EP,,DIA di somministrazione,somministrazione,9,1395258.412,4988580.345,CORSO BRAMANTE 68
1001,EP,,Somministrazione,somministrazione,2,1395632.198,4988524.44,CORSO BRAMANTE 81/D
1002,EP,,Somministrazione,somministrazione,1,1396218.97106555,4992245.65066958,VIA FRANCO BONELLI 6/B
1003,EP,,Somministrazione,somministrazione,1,1396174.89,4992263.92,VIA FRANCO BONELLI 11
1004,EP,,Somministrazione,somministrazione,1,1396165.009,4992288.093,VIA FRANCO BONELLI 16/C
1005,EP,,Somministrazione,somministrazione,13,1391732.545,4991369.864,CORSO FILIPPO BRUNELLESCHI 90/D
1006,EP,,Somministrazione,somministrazione,13,1391809.317,4991318.816,CORSO FILIPPO BRUNELLESCHI 97
1007,EP,,DIA di somministrazione,somministrazione,9,1395117.131,4988557.572,CORSO BRAMANTE 58 int. 7
