WKT_GEOM;C_COMP_MERC;INDIRIZZ;CARRAIO;FRONTE;INSEGNA;ANNO_INI;MESE_INI;TIPO_MER;DESC_RIP;DETT_RIP;CAT_MER;PREVALEN;TIPO_LOC;MQ_TOT_L;MQ_TOT_V;TIPO_ADD;NOME_ADD;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;COORD_X;COORD_Y
POINT (1396157.006 4993783.169);CF;CORSO VIGEVANO 55/D;No;No;;2016;10;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Mista;S;136715;30;17;N;NEGOZIO;1046;24;7;694;10152;1396157,006;4993783,169
POINT (1396150.44 4993784.385);CF;CORSO VIGEVANO 55/E;No;No;;2012;7;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Gastronomia;S;122526;52;17;N;NEGOZIO;1046;24;7;694;10152;1396150,44;4993784,385
POINT (1396132.97395833 4993839.94270833);CF;CORSO VIGEVANO 58;No;No;;2025;5;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;161577;250;250;N;;4571;39;6;572;10155;1396132,97395833;4993839,94270833
POINT (1396132.97395833 4993839.94270833);CF;CORSO VIGEVANO 58;No;No;;2025;5;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;N;161577;250;250;N;;4571;39;6;572;10155;1396132,97395833;4993839,94270833
POINT (1392558.931 4986349.674);AE;VIA ONORATO VIGLIANI 2/D;No;No;;2018;11;ALTRO;Acconciatori/estetisti;Estetica;Nessuna;;147271;50;.;N;;2778;90;2;896;10135;1392558,931;4986349,674
POINT (1392569.543 4986344.549);CF;VIA ONORATO VIGLIANI 2 bis/B;No;No;;2022;4;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;151757;49;35;N;NEGOZIO;2778;90;2;896;10135;1392569,543;4986344,549
POINT (1392569.543 4986344.549);CF;VIA ONORATO VIGLIANI 2 bis/B;No;No;;2022;4;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;151757;49;35;N;NEGOZIO;2778;90;2;896;10135;1392569,543;4986344,549
POINT (1391540.783 4990604.393);CF;VIA VILLA GIUSTI 56;No;No;;2021;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Autoveicoli e motoveicoli;S;151046;350;30;N;NEGOZIO;3008;63;3;305;10142;1391540,783;4990604,393
POINT (1391540.783 4990604.393);CF;VIA VILLA GIUSTI 56;No;No;;2014;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Autoveicoli e motoveicoli;S;139496;350;30;N;NEGOZIO;3008;63;3;305;10142;1391540,783;4990604,393
POINT (1391540.783 4990604.393);CF;VIA VILLA GIUSTI 56;No;No;;2014;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Vendita al dettaglio di cose antiche ed usate;N;139496;350;30;N;NEGOZIO;3008;63;3;305;10142;1391540,783;4990604,393
POINT (1391550.691 4990517.075);CF;VIA VILLA GIUSTI 57;No;No;;1977;5;ALIMENTARI;PRODUTTORI;Vend.dettaglio di prodotti dei propri fondi;Alimentari;S;23421;25;.;N;NEGOZIO;3529;63;3;305;10142;1391550,691;4990517,075
POINT (1391539.411 4990577.926);EP;VIA VILLA GIUSTI 60;No;No;;2019;9;ALTRO;DIA di somministrazione;in sale cinematografiche, musei, teatri, sale concerto, complessi sportivi;Nessuna;;144721;14;;N;;3008;63;3;305;10142;1391539,411;4990577,926
POINT (1395988.366 4987973.442);EP;VIA VILLA GLORI 21;Si;No;;2023;8;ALTRO;DIA di somministrazione;in sale cinematografiche, musei, teatri, sale concerto, complessi sportivi;Nessuna;;155631;22;;N;;6473;70;8;773;10133;1395988,366;4987973,442
POINT (1395034.693 4995490.68);CF;VIA VISCHE 14/D;No;No;;2021;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Tabacchi;S;30649;32;.;;NEGOZIO;1870;45;5;453;10147;1395034,693;4995490,68
POINT (1395837.8900000001 4994213.831);CF;VIA MARCHESE VISCONTI 2;No;No;;2021;5;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;149505;31;31;N;NEGOZIO;3338;42;5;427;10147;1395837,8900000001;4994213,831
POINT (1395837.8900000001 4994213.831);CF;VIA MARCHESE VISCONTI 2;No;No;;2021;5;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;149505;31;31;N;NEGOZIO;3338;42;5;427;10147;1395837,8900000001;4994213,831
POINT (1395849.926 4994241.636);CF;VIA MARCHESE VISCONTI 6;No;No;;1994;5;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;115370;60;38;N;;3338;42;5;427;10147;1395849,926;4994241,636
POINT (1395849.926 4994241.636);EP;VIA MARCHESE VISCONTI 6;No;No;;2017;7;ALTRO;DIA di somministrazione;nei circoli;Nessuna;;138888;32;;N;;3338;42;5;427;10147;1395849,926;4994241,636
POINT (1395868.094 4994283.608);CF;VIA MARCHESE VISCONTI 14/B;No;No;;2023;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Profumeria;S;156883;47;37;N;;3338;42;5;427;10147;1395868,094;4994283,608
POINT (1395257.976 4996056.204);CF;VIA PAOLO VERONESE 247;No;No;;2023;9;EXTRALIMENTARI;FORME SPECIALI DI VENDITA;Vend.dettaglio per corrispond./TV/altro sistema;Autoveicoli e motoveicoli;S;155878;.;.;N;;1921;46;5;472;10148;1395257,976;4996056,204
POINT (1395257.976 4996056.204);CF;VIA PAOLO VERONESE 247;No;No;;2020;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio in spaccio aziendale;Autoveicoli e motoveicoli;S;148235;50;50;N;SA;1921;46;5;472;10148;1395257,976;4996056,204
POINT (1395399.48693481 4996029.16829784);CF;VIA PAOLO VERONESE 254;Si;No;;2013;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio in spaccio aziendale;Vendita al dettaglio di cose antiche ed usate;S;124500;474;25;N;SA;3543;66;5;530;10148;1395399,48693481;4996029,16829784
POINT (1395399.48693481 4996029.16829784);CF;VIA PAOLO VERONESE 254;Si;No;;2013;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio in spaccio aziendale;Autoveicoli e motoveicoli;N;124500;474;25;N;SA;3543;66;5;530;10148;1395399,48693481;4996029,16829784
POINT (1395190.779 4996077.902);CF;VIA PAOLO VERONESE 257/A;Si;No;;1998;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Autoveicoli e motoveicoli;S;11434;.;190;N;NEGOZIO;1921;46;5;0;10148;1395190,779;4996077,902
POINT (1394759.373 4996217.257);CF;VIA PAOLO VERONESE 305;Si;No;;2022;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Carburanti;S;153392;15;15;N;NEGOZIO;3083;46;5;471;10148;1394759,373;4996217,257
POINT (1392599.558 4986392.425);AE;VIA ONORATO VIGLIANI 3/G;No;No;;1999;12;ALTRO;Acconciatori/estetisti;Acconciatori;Nessuna;;129230;25;.;N;;2736;61;8;858;10135;1392599,558;4986392,425
POINT (1392603.483 4986390.504);CF;VIA ONORATO VIGLIANI 3/H;No;No;;2023;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Giocattoli;S;156675;66;19;N;;2736;61;8;858;10135;1392603,483;4986390,504
POINT (1392586.503 4986336.357);CF;VIA ONORATO VIGLIANI 4/B;No;No;;2007;8;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Panificio;S;26550;.;30;N;NEGOZIO;2778;90;2;896;10135;1392586,503;4986336,357
